generation,map_index,token_ratio,explore_dist,min_fitness,max_fitness,mean_fitness,median_fitness,sd,se,var,n,ancestors
28,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
28,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
29,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
29,1,0.000000,0.500000,0,71,0.000000,71,71.524774,7.152477,5115.793348,100,1
29,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
29,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
30,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
30,1,0.000000,0.500000,0,71,0.000000,71,71.524774,7.152477,5115.793348,100,1
30,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
30,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
31,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
31,1,0.000000,0.500000,0,71,0.000000,71,71.524774,7.152477,5115.793348,100,1
31,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
31,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
32,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
32,1,0.000000,0.500000,0,71,0.000000,71,71.524774,7.152477,5115.793348,100,1
32,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
32,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
33,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
33,1,0.000000,0.500000,0,71,0.000000,71,71.524774,7.152477,5115.793348,100,1
33,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
33,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
34,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
34,1,0.000000,0.500000,0,73,0.000000,73,72.705512,7.270551,5286.091420,100,2
34,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
34,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
35,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
35,1,0.000000,0.500000,0,73,0.000000,73,73.137394,7.313739,5349.078378,100,1
35,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
35,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
36,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
36,1,0.000000,0.500000,0,73,0.000000,73,73.137394,7.313739,5349.078378,100,1
36,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
36,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
37,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
37,1,0.000000,0.500000,0,73,0.000000,73,73.137394,7.313739,5349.078378,100,1
37,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
37,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
38,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
38,1,0.000000,0.500000,0,73,0.000000,73,73.137394,7.313739,5349.078378,100,1
38,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
38,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
39,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
39,1,0.000000,0.500000,0,73,0.000000,73,73.137394,7.313739,5349.078378,100,1
39,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
39,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
40,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
40,1,0.000000,0.500000,0,73,0.000000,73,73.137394,7.313739,5349.078378,100,1
40,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
40,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
41,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
41,1,0.000000,0.500000,0,73,0.000000,73,73.137394,7.313739,5349.078378,100,1
41,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
41,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
42,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
42,1,0.000000,0.500000,0,73,0.000000,73,73.137394,7.313739,5349.078378,100,1
42,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
42,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
43,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
43,1,0.000000,0.500000,0,73,0.000000,73,73.137394,7.313739,5349.078378,100,1
43,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
43,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
44,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
44,1,0.000000,0.500000,0,73,0.000000,73,73.137394,7.313739,5349.078378,100,1
44,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
