generation,s-type,s-value, isActive
4,1,0.010779,1
4,2,0.000000,1
4,3,0.000000,1
4,4,0.000000,1
4,5,0.000000,1
4,6,0.000000,1
4,7,0.000000,1
4,1,0.010779,1
4,2,0.000000,1
4,3,0.000000,1
4,4,0.000000,1
4,5,0.000000,1
4,6,0.000000,1
4,7,0.000000,1
4,1,0.010779,1
4,2,0.000000,1
4,3,0.000000,1
4,4,0.000000,1
4,5,0.000000,1
4,6,0.000000,1
4,7,0.000000,1
4,1,0.010779,1
4,2,0.000000,1
4,3,0.000000,1
4,4,0.000000,1
4,5,0.000000,1
4,6,0.000000,1
4,7,0.000000,1
5,1,0.010779,1
5,2,0.261519,0
5,3,0.000000,1
5,4,0.000000,1
5,5,0.000000,1
5,6,0.000000,1
5,7,0.000000,1
5,1,0.010779,1
5,2,0.261519,0
5,3,0.000000,1
5,4,0.000000,1
5,5,0.000000,1
5,6,0.000000,1
5,7,0.000000,1
5,1,0.010779,1
5,2,0.261519,0
5,3,0.000000,1
5,4,0.000000,1
5,5,0.000000,1
5,6,0.000000,1
5,7,0.000000,1
5,1,0.010779,1
5,2,0.261519,0
5,3,0.000000,1
5,4,0.000000,1
5,5,0.000000,1
5,6,0.000000,1
5,7,0.000000,1
6,1,0.010779,1
6,2,0.261519,0
6,3,0.000000,1
6,4,0.000000,1
6,5,0.000000,1
6,6,0.000000,1
6,7,0.000000,1
6,1,0.010779,1
6,2,0.261519,0
6,3,0.000000,1
6,4,0.000000,1
6,5,0.000000,1
6,6,0.000000,1
6,7,0.000000,1
6,1,0.010779,1
6,2,0.261519,0
6,3,0.000000,1
6,4,0.000000,1
6,5,0.000000,1
6,6,0.000000,1
6,7,0.000000,1
6,1,0.010779,1
6,2,0.261519,0
6,3,0.000000,1
6,4,0.000000,1
6,5,0.000000,1
6,6,0.000000,1
6,7,0.000000,1
7,1,0.010779,1
7,2,0.261519,0
7,3,0.000000,1
7,4,0.000000,1
7,5,0.000000,1
7,6,0.000000,1
7,7,0.000000,1
7,1,0.010779,1
7,2,0.261519,0
7,3,0.000000,1
7,4,0.000000,1
7,5,0.000000,1
7,6,0.000000,1
7,7,0.000000,1
7,1,0.010779,1
7,2,0.261519,0
7,3,0.000000,1
7,4,0.000000,1
7,5,0.000000,1
7,6,0.000000,1
7,7,0.000000,1
7,1,0.010779,1
7,2,0.261519,0
7,3,0.000000,1
7,4,0.000000,1
7,5,0.000000,1
7,6,0.000000,1
7,7,0.000000,1
8,1,0.010779,1
8,2,0.233988,0
8,3,0.000000,1
8,4,0.000000,1
8,5,0.000000,1
8,6,0.000000,1
8,7,0.000000,1
8,1,0.010779,1
8,2,0.233988,0
8,3,0.000000,1
8,4,0.000000,1
8,5,0.000000,1
8,6,0.000000,1
8,7,0.000000,1
8,1,0.010779,1
8,2,0.233988,0
8,3,0.000000,1
8,4,0.000000,1
8,5,0.000000,1
8,6,0.000000,1
8,7,0.000000,1
8,1,0.010779,1
8,2,0.233988,0
8,3,0.000000,1
8,4,0.000000,1
8,5,0.000000,1
8,6,0.000000,1
8,7,0.000000,1
9,1,0.010779,1
9,2,0.233988,0
9,3,0.006832,1
9,4,0.000000,1
9,5,0.000000,1
9,6,0.000000,1
9,7,0.000000,1
9,1,0.010779,1
9,2,0.233988,0
9,3,0.006832,1
9,4,0.000000,1
9,5,0.000000,1
9,6,0.000000,1
9,7,0.000000,1
9,1,0.010779,1
9,2,0.233988,0
9,3,0.006832,1
9,4,0.000000,1
9,5,0.000000,1
9,6,0.000000,1
9,7,0.000000,1
9,1,0.010779,1
9,2,0.233988,0
9,3,0.006832,1
9,4,0.000000,1
9,5,0.000000,1
9,6,0.000000,1
9,7,0.000000,1
10,1,0.010779,1
10,2,0.233988,0
10,3,0.006832,1
10,4,0.000000,1
10,5,0.000000,1
10,6,0.000000,1
10,7,0.000000,1
10,1,0.010779,1
10,2,0.233988,0
10,3,0.006832,1
10,4,0.000000,1
10,5,0.000000,1
10,6,0.000000,1
10,7,0.000000,1
10,1,0.010779,1
10,2,0.233988,0
10,3,0.006832,1
10,4,0.000000,1
10,5,0.000000,1
10,6,0.000000,1
10,7,0.000000,1
10,1,0.010779,1
10,2,0.233988,0
10,3,0.006832,1
10,4,0.000000,1
10,5,0.000000,1
10,6,0.000000,1
10,7,0.000000,1
11,1,0.010779,1
11,2,0.233988,0
11,3,0.006832,1
11,4,0.000000,1
11,5,0.000000,1
11,6,0.000000,1
11,7,0.000000,1
11,1,0.010779,1
11,2,0.233988,0
11,3,0.006832,1
11,4,0.000000,1
11,5,0.000000,1
11,6,0.000000,1
11,7,0.000000,1
11,1,0.010779,1
11,2,0.233988,0
11,3,0.006832,1
11,4,0.000000,1
11,5,0.000000,1
11,6,0.000000,1
11,7,0.000000,1
11,1,0.010779,1
11,2,0.233988,0
11,3,0.006832,1
11,4,0.000000,1
11,5,0.000000,1
11,6,0.000000,1
11,7,0.000000,1
12,1,0.044976,1
12,2,0.233988,0
12,3,0.006832,1
12,4,0.000000,1
12,5,0.000000,1
12,6,0.000000,1
12,7,0.000000,1
12,1,0.044976,1
12,2,0.233988,0
12,3,0.006832,1
12,4,0.000000,1
12,5,0.000000,1
12,6,0.000000,1
12,7,0.000000,1
12,1,0.044976,1
12,2,0.233988,0
12,3,0.006832,1
12,4,0.000000,1
12,5,0.000000,1
12,6,0.000000,1
12,7,0.000000,1
12,1,0.044976,1
12,2,0.233988,0
12,3,0.006832,1
12,4,0.000000,1
12,5,0.000000,1
12,6,0.000000,1
12,7,0.000000,1
13,1,0.044976,1
13,2,0.233988,0
13,3,0.006832,1
13,4,0.000000,1
13,5,0.010081,1
13,6,0.000000,1
13,7,0.000000,1
13,1,0.044976,1
13,2,0.233988,0
13,3,0.006832,1
13,4,0.000000,1
13,5,0.010081,1
13,6,0.000000,1
13,7,0.000000,1
13,1,0.044976,1
13,2,0.233988,0
13,3,0.006832,1
13,4,0.000000,1
13,5,0.010081,1
13,6,0.000000,1
13,7,0.000000,1
13,1,0.044976,1
13,2,0.233988,0
13,3,0.006832,1
13,4,0.000000,1
13,5,0.010081,1
13,6,0.000000,1
13,7,0.000000,1
14,1,0.044976,1
14,2,0.233988,0
14,3,0.006832,1
14,4,0.000000,1
14,5,0.010081,1
14,6,0.000000,1
14,7,0.000000,1
14,1,0.044976,1
14,2,0.233988,0
14,3,0.006832,1
14,4,0.000000,1
14,5,0.010081,1
14,6,0.000000,1
14,7,0.000000,1
14,1,0.044976,1
14,2,0.233988,0
14,3,0.006832,1
14,4,0.000000,1
14,5,0.010081,1
14,6,0.000000,1
14,7,0.000000,1
14,1,0.044976,1
14,2,0.233988,0
14,3,0.006832,1
